x,y
261.088,203.485
261.236,191.178
262.361,195.833
263.886,180.428
264.322,172.433
264.784,189.38
266.194,176.532
266.317,190.374
267.336,202.263
267.418,186.155
268.011,211.385
268.287,199.3
268.343,178.48
268.778,185.15
268.97,177.171
269.009,194.744
269.369,202.509
269.488,204.137
269.777,227.139
270.094,199.097
270.18,162.686
270.34,179.083
270.521,185.769
270.81,171.433
271.838,191.293
271.999,191.305
273.147,201.634
274.017,168.348
274.21,175.765
275.031,192.986
275.771,170.781
276.899,196.887
277.369,217.753
277.952,201.202
278.716,208.004
278.996,161.903
279.01,219.053
279.02,195.114
279.211,205.088
279.293,213.947
279.321,219.109
279.53,189.048
279.678,184.578
280.035,159.796
280.393,169.288
280.4,184.799
280.546,191.914
280.831,220.691
281.964,199.563
282.129,225.716
283.133,197.571
283.163,218.992
283.29,171.61
283.867,175.797
284.139,156.744
285.057,177.706
285.907,219.421
286.244,182.265
286.567,221.421
286.747,177.43
286.96,163.109
288.02,181.703
288.238,207.576
288.343,159.396
288.678,175.478
289.241,167.981
290.41,223.114
290.716,230.402
290.943,176.968
291.753,164.505
292.976,208.078
293.024,202.991
293.297,213.732
293.976,208.497
294.684,222.06
296.317,181.354
297.907,168.428
299.484,201.502
299.677,216.737
300.911,216.172
301.645,225.469
302.175,163.204
302.194,192.711
303.464,190.546
304.25,221.527
306.554,195.856
308.226,214.218
309.911,218.128
313.089,173.696
313.093,191.925
313.97,186.987
314.5,187.884
314.606,188.995
314.85,188.23
318.517,206.505
318.593,217.947
318.781,284.069
318.906,183.547
319.653,196.988
320.467,201.513
320.517,212.596
321.368,272.095
321.688,186.705
321.785,188.448
321.869,192.551
322.263,192.956
322.321,284.123
322.466,270.125
322.659,189.784
323.386,196.773
324.519,203.765
324.686,184.922
325.765,189.418
325.975,176.518
326.152,286.005
326.589,200.29
327.508,204.33
327.985,180.553
328.157,183.377
328.464,192.496
328.94,272.904
329.111,178.711
329.327,287.255
329.593,272.422
330.307,187.571
331.365,177.327
331.396,179.647
331.827,197.622
334.051,176.388
334.102,274.412
335.877,184.915
336.416,176.758
336.46,277.682
337.308,192.884
337.565,190.175
337.754,270.727
338.04,270.712
340.153,286.94
341.557,276.578
342.073,280.302
344.392,270.384
346.624,278.158
367.981,203.551
369.322,203.882
