x,y
125.046,190.882
126.734,197.033
127.439,181.55
127.461,175.239
128.859,188.595
129.095,178.415
129.175,200.331
129.267,194.744
130.254,188.902
130.664,173.251
131.017,187.185
131.497,183.269
131.686,188.133
132.358,186.671
133.906,178.582
134.278,178.97
134.934,186.626
135.256,185.724
135.618,177.045
135.897,173.159
135.903,175.662
137.23,187.328
137.485,184.142
138.799,196.176
138.891,183.057
138.973,162.453
139.732,165.529
139.841,200.778
139.985,202.857
140.042,178.956
140.063,180.983
140.18,191.531
140.487,169.396
140.852,191.352
142.167,188.461
142.392,155.539
142.76,203.325
143.197,169.912
143.263,172.67
143.573,196.758
144.205,197.955
145.049,173.428
145.3,183.619
145.323,184.198
145.527,189.308
145.883,179.872
146.507,179.403
146.545,192.297
146.632,179.307
147.083,197.827
147.222,173.673
147.486,196.193
147.494,164.218
147.673,184.976
147.768,182.107
148.058,198.13
148.49,194.58
148.62,203.86
148.908,184.276
148.943,181.945
148.999,157.929
149.952,203.708
150.086,190.756
150.895,168.362
151.107,177.965
151.306,173.585
151.551,160.359
152.04,189.972
152.057,180.442
152.287,156.391
152.318,178.109
152.432,174.564
153.155,163.602
153.175,161.053
153.181,169.287
153.284,148.717
153.732,180.076
153.971,207.599
154.022,203.306
154.969,184.482
155.069,161.392
155.097,158.426
155.346,193.35
155.378,173.056
155.515,162.027
155.578,174.053
155.904,155.332
156.08,211.21
156.729,157.774
156.909,168.31
157.382,175.036
157.424,145.323
158.544,152.637
159.032,157.056
159.047,164.081
159.593,158.688
159.797,174.984
160.161,217.988
160.39,165.98
160.753,163
161.533,164.131
162.25,197.944
162.267,178.059
163.27,176.096
163.286,167.261
163.393,142.587
164.043,170.406
164.206,161.869
164.222,151.986
164.454,202.693
165.636,151.03
166.104,181.006
166.403,139.476
166.658,198.053
166.846,138.668
167.218,149.067
167.272,215.57
167.39,159.061
167.505,210.928
167.701,161.197
167.941,178.767
168.052,179.187
168.305,159.578
168.311,184.497
169.042,161.243
170.822,192.157
171.412,214.033
171.468,194.819
172.008,176.415
172.365,165.252
172.813,169.548
172.825,151.223
173.02,175.527
173.689,178.029
174.208,219.715
174.237,144.704
174.592,153.276
174.692,148.319
175.213,147.332
175.225,153.635
175.646,161.094
175.664,218.168
175.792,137.423
176.108,215.891
176.227,145.941
176.32,163.59
176.333,198.961
176.375,176.581
176.46,204.486
176.832,160.785
176.914,199.058
177.628,189.45
177.634,195.804
177.739,213.243
178.007,138.511
178.243,200.758
178.296,207.926
178.508,186.313
178.646,166.979
179.318,195.82
179.656,211.606
179.777,146.971
179.828,201.818
179.929,209.943
180.349,187.011
180.488,133.734
181.06,183.653
181.765,195.867
181.779,192.613
182.185,214.02
182.274,135.587
182.378,208.274
182.388,197.323
182.406,167.133
182.775,211.592
183.121,154.362
183.389,207.136
183.451,188.02
183.467,208.584
183.726,182.665
184.219,144.246
184.489,194.372
184.83,157.415
185.283,186.247
185.336,200.464
185.574,195.529
185.995,183.879
186.052,182.043
186.452,147.991
187.072,217.925
188.23,194.949
188.928,200.561
188.994,146.978
189.436,173.713
190.383,197.101
190.791,171.572
191.462,195.806
191.531,216.322
192.094,169.77
192.376,195.538
192.51,139.846
193.144,216.845
193.362,194.827
193.793,202.562
195.382,220.087
195.693,208.232
195.922,196.154
196.202,204.461
196.285,178.01
196.5,193.309
196.996,204.589
197.629,217.432
198.584,208.792
199.048,188.501
200.06,210.314
200.85,204.997
201.808,202.672
