x,y
347.407,286.958
350.759,291.125
351.334,279.775
352.183,273.221
355.558,285.814
355.605,294.321
356.013,291.942
362.427,287.929
363.745,289.283
364.436,272.004
364.781,290.86
365.679,267.796
366.522,279.752
368.008,283.657
370.883,233.954
371.092,293.76
371.404,272.31
372.78,282.18
372.825,277.998
372.833,211.771
372.938,221.822
374.441,213.207
374.508,203.58
374.56,213.391
374.637,221.04
375.968,213.549
376.113,216.792
376.12,214.278
376.188,285.133
376.397,210.438
377.316,206.688
377.531,228.463
377.61,276.041
377.807,197.214
377.89,285.216
378.691,232.472
379.612,230.174
379.713,284.414
380.276,215.61
380.377,224.013
380.702,284.918
380.793,213.943
382.29,231.044
382.725,194.402
382.998,226.594
384.519,206.023
384.606,223.711
384.733,287.987
385.181,205.316
385.231,219.082
385.308,231.224
385.881,214.251
386.107,220.885
386.261,276.163
386.586,214.969
387.196,225.672
388.393,212.566
388.583,223.363
389.545,234.207
389.557,216.147
389.583,211.417
389.592,216.725
390.074,210.425
391.953,290.33
392.239,192.112
393.996,292.133
394.198,281.351
394.287,221.617
395.229,277.182
395.404,274.644
396.083,233.008
396.177,284.26
396.39,286.281
396.614,186.834
396.787,199.432
398.725,273.812
399.344,286.288
399.819,181.172
399.931,282.228
400.437,232.069
400.597,281.792
400.827,182.698
401.308,220.994
402.144,209.554
402.443,197.634
402.726,179.959
402.748,185.025
402.77,290.285
402.869,282.344
404.472,283.845
404.858,286.426
405.229,230.146
405.859,232.099
405.874,219.062
405.976,183.108
406.281,274.226
406.516,268.832
406.626,184.045
407.35,273.096
407.403,275.21
407.418,187.233
408.5,186.83
408.604,274.33
409.724,210.768
410.026,187.034
410.276,210.034
410.593,287.702
411.504,174.146
411.543,274.031
411.721,212.162
411.856,200.189
412.152,222.758
412.159,180.511
412.849,189.627
414.039,291.192
414.099,274.039
414.254,186.056
414.791,292.098
415.229,284.757
416.399,281.33
416.613,277.085
416.845,197.32
417.296,181.058
417.318,201.123
417.684,175.408
417.782,280.438
418.383,196.53
418.492,205.662
419.149,214.757
419.8,280.178
420.036,193.364
420.317,275.72
420.859,199.386
420.892,287.635
421.451,276.185
422.191,194.534
422.587,185.631
423.006,211.499
423.039,291.477
424.048,285.958
424.322,193.504
425.219,275.67
425.745,200.469
426.08,283.039
426.276,195.292
426.287,194.853
426.337,284.251
426.729,209.926
427.145,179.52
427.727,221.541
428.305,294.929
428.403,196.026
429.096,199.789
429.552,216.366
429.927,182.108
430.54,194.8
430.878,192.071
431.903,215.313
432.922,183.786
433.903,207.2
434.286,201.585
434.4,217.169
434.938,205.957
435.209,193.587
435.299,195.537
436.079,193.274
436.356,202.006
436.627,209.828
436.821,214.515
437.104,187.31
437.362,210.993
440.905,219.108
440.973,191.462
443.367,210.69
446.961,211.831
447.272,209.947
448.656,208.38
449.961,209.521
451.416,222.076
465.989,263.46
466.502,167.282
466.747,260.297
466.762,267.796
467.227,276.616
467.468,273.919
467.618,263.918
467.798,269.061
468.014,291.785
468.117,258.138
468.217,238.423
468.286,286.944
468.389,239.877
469.04,257.808
469.54,276.587
469.846,279.576
469.855,280.868
470.505,254.588
471.169,252.301
471.67,263.008
472.526,281.415
472.8,267.347
473.106,243.602
473.132,245.937
473.765,257.88
474.093,255.486
474.51,259.566
474.536,276.54
475.361,292.617
475.372,238.459
476.342,254.449
476.355,253.397
476.545,249.675
476.833,266.442
477.006,286.303
477.532,259.373
477.536,271.826
478.277,251.975
478.461,162.805
478.483,270.666
478.621,236.886
478.748,279.299
478.786,245.607
478.818,166.67
479.007,258.444
479.507,293.74
479.517,242.269
480.024,256.994
480.406,284.339
480.7,280.594
480.819,165.399
480.978,261.292
481.047,287.704
481.162,239.17
481.259,270.914
481.395,270.75
481.886,259.408
482.167,244.422
482.223,289.066
482.359,265.8
482.903,244.121
483.875,169.542
484.992,265.061
485.05,240.153
485.143,250.373
485.29,255.681
485.32,260.217
485.468,253.462
485.666,285.382
485.848,268.157
486.212,163.925
486.226,259.876
486.227,250.304
487.117,163.815
489.019,283.216
489.195,257.24
489.31,263.769
489.503,287.036
489.628,250.845
489.706,262.545
489.737,277.521
489.817,276.033
489.949,275.342
490.011,279.044
490.257,236.818
490.695,278.016
490.816,246.684
490.912,239.823
490.98,245.352
491.042,262.771
491.117,277.833
491.416,274.242
491.447,290.093
491.605,270.346
491.722,285.362
491.803,247.083
491.836,285.92
491.867,260.132
492.744,279.087
493.089,278.706
493.3,252.883
493.437,261.164
495.901,254.91
495.935,254.219
