x,y
21.658,291.751
23.3623,285.951
23.7872,289.136
24.5868,295.885
24.9057,286.048
25.3564,282.256
26.4705,264.719
27.0159,273.326
27.9535,275.111
28.5346,273
28.645,265.627
30.1619,255.164
30.6125,255.728
30.9205,288.648
31.535,266.713
32.8557,264.559
33.5541,259.176
34.1168,278.26
36.0647,276.659
36.1133,264.944
37.1279,297.222
37.2505,282.178
38.0912,264.813
39.0086,270.161
39.2698,262.813
39.273,289.423
39.6191,287.426
39.9116,275.317
40.4402,260.019
41.2066,285.85
41.2239,297.019
41.509,292.841
42.6515,290.973
42.7686,267.609
43.4237,258.664
43.4489,282.338
45.071,282.169
45.1966,282.994
45.8019,298.252
45.8858,286.387
46.412,285.632
46.4658,260.83
47.5006,277.004
47.9991,272.218
48.5534,262.749
48.7599,275.952
48.8865,285.744
49.2011,290.048
49.589,274.466
50.4209,279.328
50.4431,269.599
51.2173,290.861
51.2387,283.165
51.4248,284.9
51.8896,275.529
52.528,295.995
52.9509,276.19
53.1981,277.184
53.7503,286.194
54.7083,282.818
55.5294,281.047
57.131,296.103
57.2061,294.207
58.9576,288.888
59.2851,269.641
59.3832,273.948
60.4085,295.637
60.5507,272.858
60.7259,268.645
60.98,270.412
61.0799,283.288
63.7751,272.662
63.877,265.573
64.9633,268.083
65.0479,274.732
65.9107,279.257
65.9257,281.515
66.1865,274.167
66.206,282.986
66.6132,274.713
66.8807,279.814
66.9485,275.128
67.0347,284.751
67.161,301.829
67.4081,277.964
69.122,278.021
69.5076,294.533
69.6821,285.96
70.0092,280.313
70.0592,273.358
70.5582,281.101
71.5274,274.244
71.5559,273.045
71.986,271.244
71.9982,271.181
72.0082,273.426
72.0959,271.851
72.8105,270.227
73.5947,267.955
74.1961,284.777
75.2545,269.052
75.5239,274.93
75.787,276.905
