x,y
277.985,76.1008
278.688,64.6527
279.17,83.7114
279.676,73.2678
279.855,95.5008
280.136,88.8603
280.408,100.11
280.902,95.3771
281.078,90.258
281.157,82.8704
281.762,74.6936
282.264,78.156
282.578,83.8065
284.676,62.3372
285.282,95.0835
285.516,92.3032
286.038,68.3784
286.063,79.131
286.416,87.1055
286.697,74.1525
286.867,97.9592
286.98,55.6368
286.982,66.8072
287.065,85.9047
287.639,53.442
288.036,79.6499
288.277,72.4706
288.581,101.038
288.923,62.8139
289.086,80.6432
289.541,64.4448
289.96,84.4617
290.132,70.0091
290.145,80.8743
291.073,73.3695
291.481,65.5972
291.536,89.8303
291.619,79.7625
292.187,53.7982
292.215,80.5063
292.295,87.478
292.367,56.3648
292.741,59.2742
292.924,89.2388
293.327,72.7504
293.65,73.9336
293.914,76.0216
294.699,69.0291
295.248,80.6702
296.323,81.9574
296.579,102.401
296.787,59.668
296.821,57.1672
297.081,91.6394
297.569,67.7938
297.861,79.9337
297.999,65.0895
298.083,78.9523
298.35,52.5315
298.837,56.6017
299.068,53.4591
299.156,68.7821
299.38,93.1237
299.491,69.4887
299.718,68.5493
299.873,57.9098
300.29,91.6792
300.611,89.6948
300.677,86.0418
300.686,72.5245
300.907,57.6054
301.364,104.596
301.74,100.84
301.744,83.1012
302.231,56.6119
302.759,103.051
302.797,81.2891
303.282,81.9498
304.035,75.6805
304.371,80.4167
304.526,58.1676
304.619,68.838
304.689,74.8613
305.177,100.299
305.495,53.1211
306.205,93.6694
306.221,69.9046
306.346,81.1233
307.42,72.2642
307.625,98.1791
307.719,60.7106
307.765,69.728
308.009,90.1557
308.119,89.2176
308.454,90.9906
308.691,64.638
309.219,66.4521
309.775,70.3156
309.819,74.3745
310.116,13.1009
310.36,95.275
311.01,91.9892
311.073,97.7415
311.306,71.9785
311.495,66.75
311.586,96.9786
312.445,102.123
313.694,57.24
313.805,95.3082
314.512,50.5232
314.525,87.3481
315.752,102.865
316.026,14.448
316.109,89.597
316.581,88.2067
317.145,67.2488
318.164,57.795
318.168,84.0187
318.608,56.4618
318.862,83.4071
320.023,104.214
320.351,59.0194
320.724,67.057
320.748,91.683
320.966,81.2882
321.064,97.7465
321.938,107.513
322.246,95.7502
322.528,100.942
322.785,55.3353
323.041,11.9138
323.596,56.4832
323.65,69.779
324.052,83.4219
324.76,88.5558
325.073,95.4491
325.356,85.8018
325.937,83.4438
326.181,12.6659
326.19,86.8624
326.389,3.81738
326.676,80.699
327.202,19.5166
327.402,67.5748
327.524,62.0498
327.625,9.71582
327.685,79.8875
328.124,93.1175
328.242,9.2128
328.406,11.8199
